0,"2017-08-21 15:00:00+00:00",<129032203.78052,-79063061.7322898,2695.97996741906>,<0,0,0>,<128722076.952838,-78858380.0680132,4242.72689855471>
1,"2017-08-21 15:01:00+00:00",<129033108.935095,-79061543.7667107,2695.84179631993>,<0,0,0>,<128722945.160996,-78856913.6834145,4248.45777498558>
2,"2017-08-21 15:02:00+00:00",<129034014.071773,-79060025.7901613,2695.70362538099>,<0,0,0>,<128723813.35995,-78855447.2935868,4254.18860740587>
3,"2017-08-21 15:03:00+00:00",<129034919.190556,-79058507.8026418,2695.56545460969>,<0,0,0>,<128724681.549702,-78853980.8985286,4259.91939564422>
4,"2017-08-21 15:04:00+00:00",<129035824.291442,-79056989.8041524,2695.42728399858>,<0,0,0>,<128725549.730253,-78852514.4982385,4265.65013954043>
5,"2017-08-21 15:05:00+00:00",<129036729.374433,-79055471.7946934,2695.28911355138>,<0,0,0>,<128726417.901602,-78851048.0927153,4271.38083892316>
6,"2017-08-21 15:06:00+00:00",<129037634.439526,-79053953.774265,2695.15094328299>,<0,0,0>,<128727286.063751,-78849581.6819576,4277.11149363965>
7,"2017-08-21 15:07:00+00:00",<129038539.486723,-79052435.7428674,2695.01277317107>,<0,0,0>,<128728154.216701,-78848115.2659639,4282.8421035111>
8,"2017-08-21 15:08:00+00:00",<129039444.516024,-79050917.7005009,2694.87460324913>,<0,0,0>,<128729022.360452,-78846648.8447329,4288.57266838849>
9,"2017-08-21 15:09:00+00:00",<129040349.527427,-79049399.6471655,2694.73643349856>,<0,0,0>,<128729890.495005,-78845182.4182634,4294.30318810046>
10,"2017-08-21 15:10:00+00:00",<129041254.520934,-79047881.5828617,2694.59826391935>,<0,0,0>,<128730758.62036,-78843715.9865538,4300.0336624831>
11,"2017-08-21 15:11:00+00:00",<129042159.496543,-79046363.5075896,2694.46009452641>,<0,0,0>,<128731626.736519,-78842249.549603,4305.76409137994>
12,"2017-08-21 15:12:00+00:00",<129043064.454255,-79044845.4213494,2694.32192531601>,<0,0,0>,<128732494.843482,-78840783.1074094,4311.49447461218>
13,"2017-08-21 15:13:00+00:00",<129043969.39407,-79043327.3241413,2694.18375629187>,<0,0,0>,<128733362.94125,-78839316.6599717,4317.22481202707>
14,"2017-08-21 15:14:00+00:00",<129044874.315987,-79041809.2159656,2694.04558744654>,<0,0,0>,<128734231.029824,-78837850.2072887,4322.95510345697>
15,"2017-08-21 15:15:00+00:00",<129045779.220006,-79040291.0968225,2693.90741879121>,<0,0,0>,<128735099.109204,-78836383.7493588,4328.68534874543>
16,"2017-08-21 15:16:00+00:00",<129046684.106127,-79038772.9667123,2693.76925033331>,<0,0,0>,<128735967.17939,-78834917.2861809,4334.41554772109>
17,"2017-08-21 15:17:00+00:00",<129047588.974351,-79037254.8256351,2693.6310820505>,<0,0,0>,<128736835.240385,-78833450.8177534,4340.14570020139>
18,"2017-08-21 15:18:00+00:00",<129048493.824676,-79035736.6735911,2693.49291397259>,<0,0,0>,<128737703.292188,-78831984.3440751,4345.87580605224>
19,"2017-08-21 15:19:00+00:00",<129049398.657103,-79034218.5105807,2693.35474608839>,<0,0,0>,<128738571.334801,-78830517.8651445,4351.60586509854>
20,"2017-08-21 15:20:00+00:00",<129050303.471631,-79032700.336604,2693.21657840908>,<0,0,0>,<128739439.368223,-78829051.3809604,4357.33587719128>
21,"2017-08-21 15:21:00+00:00",<129051208.268261,-79031182.1516612,2693.07841092348>,<0,0,0>,<128740307.392456,-78827584.8915213,4363.06584214047>
22,"2017-08-21 15:22:00+00:00",<129052113.046992,-79029663.9557526,2692.94024365023>,<0,0,0>,<128741175.407501,-78826118.396826,4368.79575978965>
23,"2017-08-21 15:23:00+00:00",<129053017.807824,-79028145.7488783,2692.80207656696>,<0,0,0>,<128742043.413357,-78824651.896873,4374.52562998608>
24,"2017-08-21 15:24:00+00:00",<129053922.550758,-79026627.5310387,2692.66390970349>,<0,0,0>,<128742911.410027,-78823185.391661,4380.2554525584>
25,"2017-08-21 15:25:00+00:00",<129054827.275792,-79025109.3022339,2692.52574303374>,<0,0,0>,<128743779.39751,-78821718.8811886,4385.98522733897>
26,"2017-08-21 15:26:00+00:00",<129055731.982926,-79023591.0624642,2692.3875765726>,<0,0,0>,<128744647.375807,-78820252.3654544,4391.71495416388>
27,"2017-08-21 15:27:00+00:00",<129056636.672162,-79022072.8117298,2692.24941033125>,<0,0,0>,<128745515.34492,-78818785.8444572,4397.44463287294>
28,"2017-08-21 15:28:00+00:00",<129057541.343497,-79020554.5500309,2692.11124431714>,<0,0,0>,<128746383.304848,-78817319.3181955,4403.17426331714>
29,"2017-08-21 15:29:00+00:00",<129058445.996933,-79019036.2773677,2691.97307850048>,<0,0,0>,<128747251.255592,-78815852.7866679,4408.90384531021>
30,"2017-08-21 15:30:00+00:00",<129059350.632469,-79017517.9937404,2691.83491291106>,<0,0,0>,<128748119.197154,-78814386.2498732,4414.63337869197>
31,"2017-08-21 15:31:00+00:00",<129060255.250106,-79015999.6991494,2691.69674753398>,<0,0,0>,<128748987.129534,-78812919.70781,4420.36286330968>
32,"2017-08-21 15:32:00+00:00",<129061159.849841,-79014481.3935947,2691.55858238414>,<0,0,0>,<128749855.052732,-78811453.1604768,4426.09229897708>
33,"2017-08-21 15:33:00+00:00",<129062064.431677,-79012963.0770767,2691.42041746154>,<0,0,0>,<128750722.96675,-78809986.6078724,4431.82168556377>
34,"2017-08-21 15:34:00+00:00",<129062968.995612,-79011444.7495956,2691.28225276247>,<0,0,0>,<128751590.871588,-78808520.0499953,4437.55102288723>
35,"2017-08-21 15:35:00+00:00",<129063873.541647,-79009926.4111515,2691.14408829063>,<0,0,0>,<128752458.767247,-78807053.4868443,4443.28031077236>
36,"2017-08-21 15:36:00+00:00",<129064778.069781,-79008408.0617447,2691.00592405722>,<0,0,0>,<128753326.653727,-78805586.9184179,4449.00954908133>
37,"2017-08-21 15:37:00+00:00",<129065682.580013,-79006889.7013754,2690.86776005477>,<0,0,0>,<128754194.531029,-78804120.3447148,4454.73873762786>
38,"2017-08-21 15:38:00+00:00",<129066587.072345,-79005371.3300439,2690.72959627956>,<0,0,0>,<128755062.399155,-78802653.7657336,4460.46787625924>
39,"2017-08-21 15:39:00+00:00",<129067491.546776,-79003852.9477503,2690.5914327465>,<0,0,0>,<128755930.258104,-78801187.1814729,4466.19696480408>
40,"2017-08-21 15:40:00+00:00",<129068396.003306,-79002334.554495,2690.45326944441>,<0,0,0>,<128756798.107878,-78799720.5919315,4471.92600310966>
41,"2017-08-21 15:41:00+00:00",<129069300.441934,-79000816.1502781,2690.31510638818>,<0,0,0>,<128757665.948476,-78798253.9971079,4477.65499100834>
42,"2017-08-21 15:42:00+00:00",<129070204.86266,-78999297.7350998,2690.1769435741>,<0,0,0>,<128758533.779901,-78796787.3970008,4483.3839283362>
43,"2017-08-21 15:43:00+00:00",<129071109.265485,-78997779.3089604,2690.03878100589>,<0,0,0>,<128759401.602152,-78795320.7916088,4489.11281491444>
44,"2017-08-21 15:44:00+00:00",<129072013.650408,-78996260.8718601,2689.90061868355>,<0,0,0>,<128760269.415231,-78793854.1809305,4494.8416506052>
45,"2017-08-21 15:45:00+00:00",<129072918.017429,-78994742.423799,2689.7624566108>,<0,0,0>,<128761137.219137,-78792387.5649646,4500.57043522596>
46,"2017-08-21 15:46:00+00:00",<129073822.366547,-78993223.9647776,2689.6242947802>,<0,0,0>,<128762005.013873,-78790920.9437097,4506.29916861281>
