2457987.125000000,2017-08-21T15:00:00.0000,1.290322037805200E+08,-7.906306173228976E+07,2.695979967419058E+03,1.508605870728232E+01,2.529933489771690E+01,-2.302853031070029E-03,5.047771278233034E+02,1.513283758923283E+08,-3.545632557884951E-01
2457987.125694444,2017-08-21T15:01:00.0000,1.290331089350945E+08,-7.906154376671067E+07,2.695841796319932E+03,1.508576044383745E+01,2.529951773810078E+01,-2.302850354187314E-03,5.047770568609716E+02,1.513283546183564E+08,-3.545691390919372E-01
2457987.126388889,2017-08-21T15:02:00.0000,1.290340140717732E+08,-7.906002579016127E+07,2.695703625380993E+03,1.508546217801120E+01,2.529970057475435E+01,-2.302847643514738E-03,5.047769858974625E+02,1.513283333440316E+08,-3.545750223294074E-01
2457987.127083333,2017-08-21T15:03:00.0000,1.290349191905558E+08,-7.905850780264179E+07,2.695565454609692E+03,1.508516390980365E+01,2.529988340767756E+01,-2.302844899061185E-03,5.047769149327758E+02,1.513283120693538E+08,-3.545809055008648E-01
2457987.127777778,2017-08-21T15:04:00.0000,1.290358242914423E+08,-7.905698980415243E+07,2.695427283998579E+03,1.508486563921493E+01,2.530006623687034E+01,-2.302842120824877E-03,5.047768439669118E+02,1.513282907943229E+08,-3.545867886062385E-01
2457987.128472222,2017-08-21T15:05:00.0000,1.290367293744325E+08,-7.905547179469344E+07,2.695289113551378E+03,1.508456736624511E+01,2.530024906233265E+01,-2.302839308809368E-03,5.047767729998703E+02,1.513282695189391E+08,-3.545926716454874E-01
2457987.129166667,2017-08-21T15:06:00.0000,1.290376344395262E+08,-7.905395377426502E+07,2.695150943282992E+03,1.508426909089431E+01,2.530043188406443E+01,-2.302836463007552E-03,5.047767020316514E+02,1.513282482432024E+08,-3.545985546185518E-01
2457987.129861111,2017-08-21T15:07:00.0000,1.290385394867233E+08,-7.905243574286741E+07,2.695012773171067E+03,1.508397081316263E+01,2.530061470206564E+01,-2.302833583435415E-03,5.047766310622550E+02,1.513282269671126E+08,-3.546044375253924E-01
2457987.130555556,2017-08-21T15:08:00.0000,1.290394445160238E+08,-7.905091770050086E+07,2.694874603249133E+03,1.508367253305017E+01,2.530079751633621E+01,-2.302830670080525E-03,5.047765600916813E+02,1.513282056906699E+08,-3.546103203659426E-01
2457987.131250000,2017-08-21T15:09:00.0000,1.290403495274273E+08,-7.904939964716554E+07,2.694736433498561E+03,1.508337425055702E+01,2.530098032687611E+01,-2.302827722948209E-03,5.047764891199302E+02,1.513281844138741E+08,-3.546162031401558E-01
2457987.131944444,2017-08-21T15:10:00.0000,1.290412545209338E+08,-7.904788158286169E+07,2.694598263919353E+03,1.508307596568331E+01,2.530116313368526E+01,-2.302824742050902E-03,5.047764181470018E+02,1.513281631367255E+08,-3.546220858479668E-01
2457987.132638889,2017-08-21T15:11:00.0000,1.290421594965431E+08,-7.904636350758956E+07,2.694460094526410E+03,1.508277767842911E+01,2.530134593676365E+01,-2.302821727379722E-03,5.047763471728960E+02,1.513281418592238E+08,-3.546279684893570E-01
2457987.133333333,2017-08-21T15:12:00.0000,1.290430644542551E+08,-7.904484542134936E+07,2.694321925316006E+03,1.508247938879454E+01,2.530152873611119E+01,-2.302818678934671E-03,5.047762761976129E+02,1.513281205813693E+08,-3.546338510642381E-01
2457987.134027778,2017-08-21T15:13:00.0000,1.290439693940697E+08,-7.904332732414129E+07,2.694183756291866E+03,1.508218109677970E+01,2.530171153172785E+01,-2.302815596726404E-03,5.047762052211523E+02,1.513280993031617E+08,-3.546397335725692E-01
2457987.134722222,2017-08-21T15:14:00.0000,1.290448743159867E+08,-7.904180921596563E+07,2.694045587446541E+03,1.508188280238469E+01,2.530189432361356E+01,-2.302812480749594E-03,5.047761342435145E+02,1.513280780246012E+08,-3.546456160142998E-01
2457987.135416667,2017-08-21T15:15:00.0000,1.290457792200060E+08,-7.904029109682254E+07,2.693907418791205E+03,1.508158450560961E+01,2.530207711176828E+01,-2.302809331002464E-03,5.047760632646996E+02,1.513280567456878E+08,-3.546514983893764E-01
2457987.136111111,2017-08-21T15:16:00.0000,1.290466841061273E+08,-7.903877296671230E+07,2.693769250333309E+03,1.508128620645456E+01,2.530225989619197E+01,-2.302806147497449E-03,5.047759922847072E+02,1.513280354664214E+08,-3.546573806977518E-01
2457987.136805556,2017-08-21T15:17:00.0000,1.290475889743507E+08,-7.903725482563508E+07,2.693631082050502E+03,1.508098790491965E+01,2.530244267688455E+01,-2.302802930230996E-03,5.047759213035376E+02,1.513280141868021E+08,-3.546632629393596E-01
2457987.137500000,2017-08-21T15:18:00.0000,1.290484938246759E+08,-7.903573667359114E+07,2.693492913972586E+03,1.508068960100497E+01,2.530262545384598E+01,-2.302799679199552E-03,5.047758503211908E+02,1.513279929068299E+08,-3.546691451141606E-01
2457987.138194445,2017-08-21T15:19:00.0000,1.290493986571027E+08,-7.903421851058069E+07,2.693354746088386E+03,1.508039129471062E+01,2.530280822707622E+01,-2.302796394413775E-03,5.047757793376667E+02,1.513279716265047E+08,-3.546750272220949E-01
2457987.138888889,2017-08-21T15:20:00.0000,1.290503034716312E+08,-7.903270033660397E+07,2.693216578409076E+03,1.508009298603672E+01,2.530299099657520E+01,-2.302793075870113E-03,5.047757083529654E+02,1.513279503458266E+08,-3.546809092631121E-01
2457987.139583333,2017-08-21T15:21:00.0000,1.290512082682610E+08,-7.903118215166116E+07,2.693078410923481E+03,1.507979467498336E+01,2.530317376234288E+01,-2.302789723572118E-03,5.047756373670867E+02,1.513279290647956E+08,-3.546867912371524E-01
