            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457987.134722222, A.D. 2017-Aug-21 15:14:00.0000,  1.287342310298236E+08, -7.883785020728865E+07,  4.322955103456974E+03,  1.446806627611612E+01,  2.444092177035327E+01,  9.550447305872645E-02,  5.035371693910085E+02,  1.509566457060928E+08, -4.261748779086229E-01,
2457987.135416667, A.D. 2017-Aug-21 15:15:00.0000,  1.287350991092035E+08, -7.883638374935882E+07,  4.328685348745435E+03,  1.446791305426004E+01,  2.444100922796711E+01,  9.550370255363561E-02,  5.035370841114580E+02,  1.509566201399267E+08, -4.260306590664178E-01,
2457987.136111111, A.D. 2017-Aug-21 15:16:00.0000,  1.287359671793904E+08, -7.883491728618087E+07,  4.334415547721088E+03,  1.446775984452617E+01,  2.444109670824159E+01,  9.550292931574589E-02,  5.035369988607710E+02,  1.509565945824137E+08, -4.258864417418320E-01,
2457987.136805556, A.D. 2017-Aug-21 15:17:00.0000,  1.287368352403851E+08, -7.883345081775337E+07,  4.340145700201392E+03,  1.446760664690934E+01,  2.444118421117870E+01,  9.550215334519230E-02,  5.035369136389471E+02,  1.509565690335537E+08, -4.257422259391307E-01,
2457987.137500000, A.D. 2017-Aug-21 15:18:00.0000,  1.287377032921882E+08, -7.883198434407505E+07,  4.345875806052238E+03,  1.446745346140438E+01,  2.444127173678043E+01,  9.550137464211517E-02,  5.035368284459862E+02,  1.509565434933465E+08, -4.255980116625918E-01,
2457987.138194445, A.D. 2017-Aug-21 15:19:00.0000,  1.287385713348007E+08, -7.883051786514451E+07,  4.351605865098536E+03,  1.446730028800614E+01,  2.444135928504875E+01,  9.550059320664239E-02,  5.035367432818882E+02,  1.509565179617922E+08, -4.254537989164884E-01,
2457987.138888889, A.D. 2017-Aug-21 15:20:00.0000,  1.287394393682231E+08, -7.882905138096040E+07,  4.357335877191275E+03,  1.446714712670944E+01,  2.444144685598567E+01,  9.549980903890543E-02,  5.035366581466525E+02,  1.509564924388907E+08, -4.253095877050905E-01,
2457987.139583333, A.D. 2017-Aug-21 15:21:00.0000,  1.287403073924561E+08, -7.882758489152133E+07,  4.363065842140466E+03,  1.446699397750911E+01,  2.444153444959315E+01,  9.549902213903749E-02,  5.035365730402788E+02,  1.509564669246417E+08, -4.251653780326670E-01,
2457987.140277778, A.D. 2017-Aug-21 15:22:00.0000,  1.287411754075006E+08, -7.882611839682598E+07,  4.368795759789646E+03,  1.446684084040000E+01,  2.444162206587318E+01,  9.549823250718248E-02,  5.035364879627668E+02,  1.509564414190453E+08, -4.250211699034922E-01,
2457987.140972222, A.D. 2017-Aug-21 15:23:00.0000,  1.287420434133572E+08, -7.882465189687300E+07,  4.374525629986078E+03,  1.446668771537693E+01,  2.444170970482775E+01,  9.549744014345940E-02,  5.035364029141163E+02,  1.509564159221013E+08, -4.248769633218475E-01,
2457987.141666667, A.D. 2017-Aug-21 15:24:00.0000,  1.287429114100267E+08, -7.882318539166097E+07,  4.380255452558398E+03,  1.446653460243473E+01,  2.444179736645883E+01,  9.549664504801036E-02,  5.035363178943269E+02,  1.509563904338096E+08, -4.247327582919935E-01,
2457987.142361111, A.D. 2017-Aug-21 15:25:00.0000,  1.287437793975097E+08, -7.882171888118857E+07,  4.385985227338970E+03,  1.446638150156824E+01,  2.444188505076841E+01,  9.549584722096682E-02,  5.035362329033982E+02,  1.509563649541702E+08, -4.245885548181987E-01,
2457987.143055555, A.D. 2017-Aug-21 15:26:00.0000,  1.287446473758071E+08, -7.882025236545442E+07,  4.391714954163879E+03,  1.446622841277230E+01,  2.444197275775844E+01,  9.549504666246200E-02,  5.035361479413302E+02,  1.509563394831830E+08, -4.244443529047346E-01,
